"","time","U","I","V"
"1",0,3e+05,0,3000
"2",0.1,299755.595222095,244.186209221086,3000.41514830335
"3",0.2,299511.322020685,487.804403881982,3001.65933394293
"4",0.3,299267.113089894,730.92284531188,3003.73074197304
"5",0.4,299022.90146532,973.609331752139,3006.62778846339
"6",0.5,298778.620525369,1215.93119615333,3010.34912214655
"7",0.6,298534.203961667,1457.95534007818,3014.89361621639
"8",0.7,298289.585768521,1699.74824243222,3020.26037177349
"9",0.8,298044.700223187,1941.37598054901,3026.44871524372
"10",0.9,297799.48186632,2182.90425051316,3033.45819692084
"11",1,297553.865485777,2424.3983839615,3041.28858980859
"12",1.1,297307.786099462,2665.92336587634,3049.93988841684
"13",1.2,297061.178937882,2907.54385265083,3059.41230757415
"14",1.3,296813.979427671,3149.32418913463,3069.70628134946
"15",1.4,296566.123175321,3391.32842544527,3080.82246202222
"16",1.5,296317.545951221,3633.62033343998,3092.76171911114
"17",1.6,296068.183673979,3876.26342287771,3105.52513845413
"18",1.7,295817.972395052,4119.32095724497,3119.1140213438
"19",1.8,295566.848283676,4362.85596924983,3133.52988371733
"20",1.9,295314.747612095,4606.93127599727,3148.77445539824
"21",2,295061.606741066,4851.60949385094,3164.84967938864
"22",2.1,294807.362105662,5096.95305298133,3181.75771121174
"23",2.2,294551.950201349,5343.02421160451,3199.50091830322
"24",2.3,294295.307570353,5589.88506991487,3218.08187945045
"25",2.4,294037.370788296,5837.59758371446,3237.5033842787
"26",2.5,293778.076451119,6086.2235777416,3257.76843278296
"27",2.6,293517.361162274,6335.82475870087,3278.88023490474
"28",2.7,293255.161520184,6586.4627279967,3300.84221015254
"29",2.8,292991.414105991,6838.19899417186,3323.65798726515
"30",2.9,292726.05547156,7091.0949850527,3347.33140391672
"31",3,292459.022127761,7345.21205960183,3371.86650646264
"32",3.1,292190.250533022,7600.61151947948,3397.26754972517
"33",3.2,291919.67708215,7857.35462031385,3423.53899681789
"34",3.3,291647.238095423,8115.50258268093,3450.685519008
"35",3.4,291372.869807956,8375.11660279379,3478.7119956154
"36",3.5,291096.508359336,8636.2578629011,3507.62351394761
"37",3.6,290818.089783528,8898.98754139446,3537.42536926962
"38",3.7,290537.549999061,9163.3668226238,3568.12306480748
