"","time","U","I","V"
"1",0,3e+06,0,30000
"2",0.1,2999660.04562644,339.621000966429,30001.3604807238
"3",0.2,2999320.09894745,678.568454379595,30005.4406149125
"4",0.3,2998980.12919236,1016.87442164783,30012.2351305499
"5",0.4,2998640.10566088,1354.57083007258,30021.7390157861
"6",0.5,2998299.99772117,1691.68947666982,30033.9475114424
"7",0.6,2997959.77480779,2028.26202971944,30048.8561128634
"8",0.7,2997619.40641893,2364.3200317828,30066.4605690313
"9",0.8,2997278.86211327,2699.89490316129,30086.7568812405
"10",0.9,2996938.1115072,3035.01794489987,30109.7413021617
"11",1,2996597.12427206,3369.72034176963,30135.4103349277
"12",1.1,2996255.87013124,3704.03316539745,30163.7607321899
"13",1.2,2995914.31885738,4037.98737730699,30194.7894952214
"14",1.3,2995572.44026954,4371.61383192369,30228.4938730488
"15",1.4,2995230.20423046,4704.94327956669,30264.8713616064
"16",1.5,2994887.58064373,5038.00636942117,30303.9197029133
"17",1.6,2994544.53945111,5370.83365249097,30345.6368842745
"18",1.7,2994201.05062971,5703.45558453155,30390.021137506
"19",1.8,2993857.08418932,6035.90252896378,30437.0709381825
"20",1.9,2993512.61016964,6368.204759769,30486.785004909
"21",2,2993167.59863764,6700.39246436459,30539.1622986158
"22",2.1,2992822.01968481,7032.49574646209,30594.2020218759
"23",2.2,2992475.84342451,7364.54462890729,30651.9036182454
"24",2.3,2992129.03998931,7696.56905650234,30712.2667716258
"25",2.4,2991781.57952831,8028.59889881019,30775.2914056508
"26",2.5,2991433.43220453,8360.66395294218,30840.9776830938
"27",2.6,2991084.56819225,8692.79394632861,30909.3260052982
"28",2.7,2990734.9576744,9025.01853947278,30980.3370116302
"29",2.8,2990384.57083997,9357.36732868872,31054.0115789529
"30",2.9,2990033.37788137,9689.86984882279,31130.3508211231
"31",3,2989681.34899189,10022.5555759595,31209.356088509
"32",3.1,2989328.45436308,10355.4539301121,31291.0289675303
"33",3.2,2988974.66418222,10688.5942778972,31375.3712802192
"34",3.3,2988619.94862972,11022.0059351951,31462.3850838034
"35",3.4,2988264.27787661,11355.7181697952,31552.0726703093
"36",3.5,2987907.62208199,11689.7602040267,31644.436566188
"37",3.6,2987549.95139049,12024.161217375,31739.4795319605
"38",3.7,2987191.23592975,12358.9503490845,31837.2045618855
"39",3.8,2986831.44580793,12694.1567007471,31937.6148836464
"40",3.9,2986470.55111117,13029.8093388776,32040.7139580604
"41",4,2986108.52190111,13365.9372974756,32146.5054788074
"42",4.1,2985745.32821244,13702.5695805742,32254.9933721795
"43",4.2,2985380.94005034,14039.7351647763,32366.1817968511
"44",4.3,2985015.3273881,14377.4630017774,32480.0751436689
"45",4.4,2984648.46016456,14715.7820208773,32596.6780354628
"46",4.5,2984280.30828176,15054.721131478,32715.9953268757
"47",4.6,2983910.84160237,15394.3092255712,32838.0321042144
"48",4.7,2983540.02994737,15734.5751802129,32962.79368532
"49",4.8,2983167.8430935,16075.5478599872,33090.285619458
"50",4.9,2982794.25077092,16417.2561194577,33220.5136872278
"51",5,2982419.22266073,16759.7288056094,33353.4839004927
"52",5.1,2982042.72839257,17102.9947602778,33489.2025023285
"53",5.2,2981664.73754222,17447.0828225686,33627.6759669921
"54",5.3,2981285.21962918,17792.0218312661,33768.9109999092
"55",5.4,2980904.14411428,18137.8406272317,33912.9145376813
"56",5.5,2980521.48039726,18484.5680557916,34059.6937481122
"57",5.6,2980137.19781442,18832.2329691152,34209.2560302529
"58",5.7,2979751.26563621,19180.8642285829,34361.609014466
"59",5.8,2979363.65306486,19530.4907071453,34516.7605625093
"60",5.9,2978974.32923201,19881.1412916713,34674.7187676376
"61",6,2978583.26319631,20232.8448852886,34835.4919547241
"62",6.1,2978190.4239411,20585.6304097141,34999.0886803994
"63",6.2,2977795.78037203,20939.5268075751,35165.5177332106
"64",6.3,2977399.3013147,21294.5630447227,35334.7881337975
"65",6.4,2977000.95551231,21650.7681125357,35506.9091350884
"66",6.5,2976600.7116233,22008.1710302158,35681.8902225138
"67",6.6,2976198.53821904,22366.8008470756,35859.7411142385
"68",6.7,2975794.40378147,22726.6866448171,36040.4717614122
"69",6.8,2975388.27670073,23087.8575398029,36224.0923484382
"70",6.9,2974980.12527289,23450.3426853194,36410.6132932605
"71",7,2974569.91769758,23814.1712738318,36600.0452476683
"72",7.1,2974157.62207568,24179.3725392324,36792.3990976197
"73",7.2,2973743.20640695,24545.9757590803,36987.6859635822
"74",7.3,2973326.63858781,24914.0102568343,37185.9172008921
"75",7.4,2972907.8864089,25283.5054040788,37387.104400131
"76",7.5,2972486.91755285,25654.4906227423,37591.2593875207
"77",7.6,2972063.69959196,26026.9953873085,37798.3942253355
"78",7.7,2971638.19998583,26401.0492270218,38008.5212123324
"79",7.8,2971210.38607913,26776.6817280845,38221.6528841987
"80",7.9,2970780.22509923,27153.9225358485,38437.8020140174
"81",8,2970347.68415396,27532.8013570003,38656.9816127504
"82",8.1,2969912.73022923,27913.3479617391,38879.2049297384
"83",8.2,2969475.33018683,28295.5921859493,39104.4854532189
"84",8.3,2969035.45076202,28679.5639333662,39332.8369108616
"85",8.4,2968593.05856134,29065.2931777362,39564.2732703206
"86",8.5,2968148.12006025,29452.8099649704,39798.8087398046
"87",8.6,2967700.60160086,29842.1444152928,40036.4577686635
"88",8.7,2967250.46938963,30233.3267253829,40277.2350479933
"89",8.8,2966797.68949511,30626.3871705115,40521.1555112569
"90",8.9,2966342.22784562,31021.3561066722,40768.2343349229
"91",9,2965884.05022698,31418.2639727067,41018.4869391212
"92",9.1,2965423.1222802,31817.1412924249,41271.9289883155
"93",9.2,2964959.40949926,32218.0186767188,41528.5763919931
"94",9.3,2964492.87722874,32620.926825673,41788.445305371
