"","time","U","I","V"
"1",0,30000,0,300
"2",0.1,29791.7477265908,208.25010311024,300.045021847207
"3",0.2,29584.8793186356,415.112019706412,300.179699204631
"4",0.3,29379.3250761718,620.655477922786,300.403447549699
"5",0.4,29175.0174252406,824.948078460809,300.715712011488
"6",0.5,28971.8908848371,1028.05532766901,301.115966741591
"7",0.6,28769.8819613639,1230.04074316543,301.603713349826
"8",0.7,28568.9291347528,1430.96586772975,302.178480600234
"9",0.8,28368.9727984396,1630.89032937596,302.839823442424
"10",0.9,28169.9552077729,1829.87189298513,303.587322136086
"11",1,27971.8204382532,2027.96650210236,304.420581513241
"12",1.1,27774.5143427124,2225.22832179433,305.339230201537
"13",1.2,27577.9845094931,2421.70978050799,306.342919843935
"14",1.3,27382.1802245086,2617.46160804543,307.431324362034
"15",1.4,27187.0524351519,2812.53287169058,308.604139230732
"16",1.5,26992.5537162851,3006.97101025373,309.861080768085
"17",1.6,26798.638238023,3200.82186632134,311.201885438407
"18",1.7,26605.2617354019,3394.12971662036,312.626309169242
"19",1.8,26412.3814798397,3586.93730059032,314.134126681346
"20",1.9,26219.9562522477,3779.28584730353,315.72513083057
"21",2,26027.946317706,3971.21510082043,317.39913196091
"22",2.1,25836.3134016453,4162.76334403865,319.155957268225
"23",2.2,25645.0206674512,4353.96742111912,320.995450173953
"24",2.3,25454.0326954154,4544.86275856407,322.917469708215
"25",2.4,25263.3154629631,4735.4833850195,324.921889901751
"26",2.5,25072.8363260848,4925.86194987202,327.008599186143
"27",2.6,24882.5640019057,5116.02974070794,329.177499801826
"28",2.7,24692.4685523267,5306.01669970048,331.428507213409
"29",2.8,24502.5213686734,5495.85143898883,333.761549531852
"30",2.9,24312.6951572875,5685.56125511392,336.176566943067
"31",3,24122.9639260068,5875.17214256589,338.673511142592
"32",3.1,23933.3029714682,6064.70880650812,341.252344775907
"33",3.2,23743.688867179,6254.1946747325,343.913040884104
"34",3.3,23554.0994522983,6443.65190890463,346.65558235454
"35",3.4,23364.5138210743,6633.10141515257,349.479961376222
"36",3.5,23174.9123128835,6822.56285405394,352.38617889963
"37",3.6,22985.2765028176,7012.05465007476,355.374244100728
"38",3.7,22795.5891927662,7201.59400051216,358.444173848951
"39",3.8,22605.8344029447,7391.19688399229,361.595992178953
"40",3.9,22415.9973638158,7580.87806857386,364.82972976594
"41",4,22226.064508356,7770.65111950705,368.145423404429
"42",4.1,22036.023464617,7960.52840669657,371.543115490288
"43",4.2,21845.8630485356,8150.52111191702,375.022853505947
"44",4.3,21655.5732569432,8340.639235828,378.584689508688
"45",4.4,21465.1452607286,8530.8916048357,382.228679621917
"46",4.5,21274.5713981083,8721.28587784683,385.954883529385
"47",4.6,21083.8451679592,8911.82855296059,389.76336397231
"48",4.7,20892.9612231681,9102.52497414297,393.654186249383
"49",4.8,20701.9153639545,9293.37933792771,397.627417719658
"50",4.9,20510.7045311242,9484.39470018721,401.683127308357
"51",5,20319.3267992087,9675.57298301586,405.82138501562
"52",5.1,20127.7813694516,9866.91498176804,410.042261428256
"53",5.2,19936.0685625978,10058.4203722918,414.345827234582
"54",5.3,19744.1898114471,10250.0877183988,418.732152742429
"55",5.4,19552.1476531309,10441.91447961,423.201307400442
"56",5.5,19359.9457210753,10633.8970192168,427.753359322783
"57",5.6,19167.5887366094,10826.0306126938,432.388374817398
