"","time","U","I","V"
"1",0,30000,0,300
"2",0.1,29973.8280613547,26.1537519303365,301.273004348749
"3",0.2,29947.4572582494,52.469895710838,305.098967084497
"4",0.3,29920.665238601,79.1704033326263,311.504493321474
"5",0.4,29893.2272142648,106.479373444004,320.537845426549
"6",0.5,29864.9141221721,134.624863471132,332.269414923352
"7",0.6,29835.4907634043,163.840746956695,346.791973567369
"8",0.7,29804.7139320116,194.368573556097,364.221456297876
"9",0.8,29772.3305986113,226.459374176478,384.697749548043
"10",0.9,29738.0759115306,260.375644967592,408.385731870939
"11",1,29701.6712295092,296.393297326576,435.476484346393
"12",1.1,29662.822093701,334.80366590435,466.18868994639
"13",1.2,29621.216177007,375.915536993543,500.77019300754
"14",1.3,29576.520979291,420.057426045609,539.499907840029
"15",1.4,29528.3816331176,467.579743588758,582.68980270066
"16",1.5,29476.4186443446,518.85702342006,630.687084795849
"17",1.6,29420.2254272714,574.290351625647,683.876708341469
"18",1.7,29359.3658157285,634.309816799788,742.684082824142
"19",1.8,29293.3715166718,699.377014507412,807.578008898796
"20",1.9,29221.7394937894,769.987617934315,879.073880217907
"21",2,29143.9293113986,846.673984811962,957.737125767057
"22",2.1,29059.3604587686,930.007780305139,1044.18690493553
"23",2.2,28967.4096809768,1020.60258962498,1139.1000644827
"24",2.3,28867.4083557115,1119.11648109149,1243.21534774961
"25",2.4,28758.6399645675,1226.25447123005,1357.33784702963
"26",2.5,28640.3377174506,1342.77083342661,1482.34368911203
"27",2.6,28511.6824025591,1469.47117794228,1619.18493535597
"28",2.7,28371.8005497411,1607.21421586682,1768.89466968337
"29",2.8,28219.7630119926,1756.91310275577,1932.59223881862
"30",2.9,28054.5840889545,1919.53623876358,2111.48859798073
"31",3,27875.2213372151,2096.10738131649,2306.89170227627
"32",3.1,27680.5762348791,2287.70490393708,2520.2118689372
"33",3.2,27469.4958895859,2495.4600133355,2752.96701937627
"34",3.3,27240.7760158125,2720.55370059889,3006.78768449365
"35",3.4,26993.1654074508,2964.21220231132,3283.42164560967
"36",3.5,26725.3721791944,3227.70070037527,3584.73804973535
"37",3.6,26436.0720595959,3512.31498031958,3912.73081379836
"38",3.7,26123.9190375336,3819.37074940192,4269.52110467437
"39",3.8,25787.5586687357,4150.19031131919,4657.35865274093
"40",3.9,25425.6443469319,4506.08629683484,5078.62162730879
"41",4,25036.8568289272,4888.3421653355,5535.81477261489
"42",4.1,24619.9272650322,5298.18923054983,6031.565477565
"43",4.2,24173.6639267441,5736.78002350847,6568.61743115896
"44",4.3,23696.9827351574,6205.15789444377,7149.82150122431
"45",4.4,23188.9415716005,6704.22287736377,7778.1234702531
"46",4.5,22648.7781924683,7234.69400042407,8456.54827186248
"47",4.6,22075.9513699618,7797.06842509008,9188.18039862487
"48",4.7,21470.1846387783,8391.57803805385,9976.14020072353
"49",4.8,20831.5117479525,9018.1443996549,10823.5558689702
"50",4.9,20160.3226035345,9676.33326459813,11733.5309987024
"51",5,19457.4081533996,10365.3102232293,12709.1077655552
"52",5.1,18724.0023282284,11083.7993465014,13753.2259112496
"53",5.2,17961.8188373336,11830.0470302813,14868.6779364297
"54",5.3,17173.0803560043,12601.7934934113,16058.061124576
"55",5.4,16360.537469477,13396.2545519571,17323.7272691061
"56",5.5,15527.4746981,14210.1163289257,18667.7312341731
"57",5.6,14677.7010592027,15039.5454241605,20091.7797336253
"58",5.7,13815.5229591138,15880.2167278914,21597.1819436244
"59",5.8,12945.6977781902,16727.3604893314,23184.803751126
"60",5.9,12073.3673196196,17575.8294421022,24855.0275598149
"61",6,11203.9713225159,18420.1857580976,26607.7196046581
"62",6.1,10343.1424465987,19254.806395754,28442.2066464569
"63",6.2,9496.58544488486,20074.004102467,30357.2637149718
"64",6.3,8669.94455022951,20872.1600262007,32351.1142383331
"65",6.4,7868.66428904434,21643.8627103251,34421.4434435252
"66",6.5,7097.84987080994,22384.047318375,36565.4253560983
"67",6.6,6362.13386270697,23088.1283837116,38779.7630977067
"68",6.7,5665.55594796746,23752.119299234,41060.7415191375
"69",6.8,5011.46212976819,24372.7322082591,43404.2905631546
"70",6.9,4402.42877965273,24947.4529287219,45806.0571773882
"71",7,3840.21550059336,25474.5869782459,48261.4831413042
"72",7.1,3325.7489964841,25953.2745502125,50765.8858729233
"73",7.2,2859.13815244546,26383.474279998,53314.5391669196
"74",7.3,2439.71866446492,26765.9175053755,55902.7508879405
"75",7.4,2066.12356309377,27102.0367147163,58525.9349341579
"76",7.5,1736.3746975311,27393.8731494745,61179.675174403
"77",7.6,1447.98926283207,27643.9695036346,63859.7795795918
"78",7.7,1198.09488184725,27855.2542241025,66562.3234575062
"79",7.8,983.546897242765,28030.9237639691,69283.6812813661
"80",7.9,801.041960308537,28174.3287008758,72020.547186686
"81",8,647.223257608456,28288.8683714156,74769.9446971815
"82",8.1,518.773198446787,28377.8981791754,77529.2270391755
"83",8.2,412.491071798827,28444.6520561578,80296.0688572834
"84",8.3,325.354602079812,28492.1811216294,83068.451191977
"85",8.4,254.565109119142,28523.3088090355,85844.6413983032
"86",8.5,197.577205847787,28540.6015067021,88623.1694597884
"87",8.6,152.113598120441,28546.3541291346,91402.8020112373
"88",8.7,116.169510850037,28542.5860687554,94182.5158889793
"89",8.8,88.0054382255553,28531.0488280592,96961.4713660262
"90",8.9,66.1335023218911,28513.240023367,99738.9867878698
"91",9,49.298129969056,28490.4230482008,102514.514756526
"92",9.1,36.4534821140693,28463.6499540935,105287.620419596
"93",9.2,26.739333947742,28433.785847476,108057.962080223
"94",9.3,19.4566868495672,28401.5335207834,110825.274184359
"95",9.4,14.0442190896292,28367.4572115695,113589.352634288
"96",9.5,10.0563669927773,28332.0046971425,116350.042483293
"97",9.6,7.14337865982027,28295.5273893104,119107.227543454
"98",9.7,5.03372665825498,28258.2980432809,121860.821874732
"99",9.8,3.51887502124974,28220.5260890345,124610.762899259
"100",9.9,2.44034311295075,28182.3706462204,127357.005888326
"101",10,1.67894088073049,28143.9513511638,130099.519604418
"102",10.1,1.14594070713519,28105.357233521,132838.2829059
"103",10.2,0.775954017475112,28066.6538770996,135573.28212717
"104",10.3,0.521268300652439,28027.8891113408,138304.509083572
"105",10.4,0.347410892349695,27989.0974689938,141031.95956941
"106",10.5,0.229713551198549,27950.3036375471,143755.632237501
"107",10.6,0.150693926593495,27911.5250895325,146475.527775179
"108",10.7,0.0980790255489679,27872.7740676523,149191.648302731
"109",10.8,0.0633331938053557,27834.0590629963,151903.99693956
