"","time","U","I","V"
"1",0,30000,0,300
"2",0.1,29996.8028116713,3.1970035004192,300.279292210984
"3",0.2,29993.600013104,6.39924729166678,301.117622099221
"4",0.3,29990.385644119,9.61269060248682,302.516425769187
"5",0.4,29987.1537269884,12.8433095178827,304.478185736815
"6",0.5,29983.8982537493,16.0971096536653,307.006448954911
"7",0.6,29980.6131776997,19.3801347008901,310.105765042827
"8",0.7,29977.2923995413,22.6984802225069,313.781778746152
"9",0.8,29973.9297596677,26.0583014085492,318.041163831327
"10",0.9,29970.5190231994,29.4658279874299,322.891704022395
"11",1,29967.0538655043,32.927378677471,328.342335878475
"12",1.1,29963.5278678086,36.449365640418,334.403050915964
"13",1.2,29959.9345024016,40.0383092259139,341.084972730307
"14",1.3,29956.2671203789,43.7008502128234,348.40038007443
"15",1.4,29952.5189399457,47.4437614950237,356.362723079064
"16",1.5,29948.68303339,51.2739610919042,364.986648869889
"17",1.6,29944.7523152572,55.1985239562396,374.288026669303
"18",1.7,29940.7195295108,59.2246947954764,384.283976325054
"19",1.8,29936.5772361547,63.3599014280549,394.992899603822
"20",1.9,29932.3177978942,67.6117681009955,406.434513237758
"21",2,29927.9333664127,71.9881291896302,418.629884418605
"22",2.1,29923.415868292,76.4970432517652,431.601468743063
"23",2.2,29918.7569905671,81.1468074468569,445.373150641324
"24",2.3,29913.9481658882,85.9459723448244,459.97028635981
"25",2.4,29908.9805572703,90.9033571469657,475.419749567476
"26",2.5,29903.8450424065,96.0280653399989,491.749979644777
"27",2.6,29898.5321975202,101.329500810686,508.991032757328
"28",2.7,29893.0322807149,106.817384459881,527.174635880896
"29",2.8,29887.3352148418,112.501771297598,546.334243607397
"30",2.9,29881.4305698237,118.393068079255,566.505098041332
"31",3,29875.3075444107,124.502051508267,587.724291875717
"32",3.1,29868.9549473532,130.839887019378,610.030834680895
"33",3.2,29862.3611779654,137.418148168817,633.465722511746
"34",3.3,29855.5142060503,144.24883666133,658.072010965298
"35",3.4,29848.401551159,151.344403039637,683.894891795752
"36",3.5,29841.0102611594,158.717768063098,710.981773204649
"37",3.6,29833.3268900853,166.382344802725,739.382363929128
"38",3.7,29825.3374752396,174.352061479887,769.148761255735
"39",3.8,29817.0275135231,182.641385076219,800.335543092198
"40",3.9,29808.3819369626,191.265345742385,832.999864234312
"41",4,29799.3850874085,200.239562033423,867.201556969983
"42",4.1,29790.0206903757,209.580266998376,903.003236167277
"43",4.2,29780.2718279998,219.304335151872,940.470408998166
"44",4.3,29770.1209110799,229.429310355114,979.671589454521
"45",4.4,29759.5496501819,239.973434633501,1020.67841781762
"46",4.5,29748.5390257753,250.955677957708,1063.5657852472
"47",4.6,29737.0692573762,262.395769014561,1108.41196366076
"48",4.7,29725.1197716714,274.314226993362,1155.29874107825
"49",4.8,29712.6691695983,286.732394412564,1204.31156261186
"50",4.9,29699.6951923572,299.672471010651,1255.53967728477
"51",5,29686.174686332,313.15754872395,1309.07629086686
"52",5.1,29672.0835668992,327.21164777267,1365.01872491908
"53",5.2,29657.3967811041,341.859753874843,1423.4685822421
"54",5.3,29642.0882691879,357.12785660594,1484.53191892772
"55",5.4,29626.1309249478,373.042988919726,1548.31942321472
"56",5.5,29609.4965549194,389.633267843449,1614.94660135327
"57",5.6,29592.1558363688,406.927936357541,1684.533970684
"58",5.7,29574.078274089,424.95740646682,1757.20726013938
"59",5.8,29555.2321559961,443.753303466493,1833.09761837603
"60",5.9,29535.5845075263,463.348511402148,1912.34182974668
"61",6,29515.101044839,483.777219718326,1995.08253831999
"62",6.1,29493.746126837,505.074971085092,2081.46848015516
"63",6.2,29471.4827060181,527.278710386311,2171.65472403584
"64",6.3,29448.2722781836,550.426834846947,2265.8029208644
"65",6.4,29424.0748310303,574.559245269665,2364.08156191313
"66",6.5,29398.8487916653,599.717398343191,2466.66624612308
"67",6.6,29372.5509730892,625.944359976327,2573.73995663396
"68",6.7,29345.1365197026,653.284859602006,2685.49334671949
"69",6.8,29316.5588519026,681.78534538545,2802.12503529224
"70",6.9,29286.7696098456,711.494040259048,2923.84191212928
"71",7,29255.7185964674,742.460998694177,3050.85945295553
"72",7.1,29223.3537198624,774.738164106567,3183.40204450463
"73",7.2,29189.6209351413,808.37942677703,3321.70331965804
"74",7.3,29154.4641859005,843.440682153279,3466.00650274099
"75",7.4,29117.825345456,879.979889381038,3616.56476502867
"76",7.5,29079.6441580117,918.057129893788,3773.64159048835
"77",7.6,29039.8581799531,957.734665869924,3937.5111517511
"78",7.7,28998.4027214805,999.076998344027,4108.45869627172
"79",7.8,28955.210788819,1042.15092473512,4286.78094259606
"80",7.9,28910.2130272667,1087.02559552909,4472.78648661126
"81",8,28863.3376653733,1133.772569825,4666.7962176062
"82",8.1,28814.510460568,1182.46586942545,4869.14374391605
"83",8.2,28763.6546465888,1233.18203111964,5080.17582786642
"84",8.3,28710.6908830975,1286.00015677409,5300.2528296679
"85",8.4,28655.5372079034,1341.00196081031,5529.74915984199
"86",8.5,28598.1089922523,1398.27181461038,5769.05373968202
"87",8.6,28538.3188996831,1457.89678735125,6018.57046916926
"88",8.7,28476.0768489918,1519.96668272611,6278.71870167355
"89",8.8,28411.2899818924,1584.57407096587,6549.93372466906
"90",8.9,28343.8626360071,1651.81431552703,6832.66724558922
"91",9,28273.6963238713,1721.78559376256,7127.3878818298
"92",9.1,28200.6897186884,1794.58891084092,7434.58165378538
"93",9.2,28124.7386476236,1870.32810612469,7754.75247967102
"94",9.3,28045.7360934821,1949.10985116482,8088.42267073882
"95",9.4,27963.5722056733,2031.04363840918,8436.13342534614
"96",9.5,27878.1343214196,2116.24175966891,8798.44532017638
"97",9.6,27789.3069982351,2204.8192733179,9175.93879672658
"98",9.7,27696.9720587793,2296.89395912124,9569.2146409505
"99",9.8,27601.0086491608,2392.58625962061,9978.89445393269
"100",9.9,27501.2933119634,2492.01920680382,10405.6211110075
"101",10,27397.7000752249,2595.31833283193,10850.0592067037
"102",10.1,27290.1005587138,2702.61156347952,11312.8954825769
"103",10.2,27178.3640988604,2814.02909293321,11794.8392348265
"104",10.3,27062.3578937854,2929.70323850967,12296.6226983026
"105",10.4,26941.9471699063,3049.76827381287,12819.0014032606
"106",10.5,26816.9953716457,3174.36023881004,13362.7545009669
"107",10.6,26687.3643758038,3303.61672526744,13928.6850539861
"108",10.7,26552.9147321833,3437.67663595949,14517.6202867064
"109",10.8,26413.5059320754,3576.67991604656,15130.4117913783
"110",10.9,26268.9967062212,3720.76725500981,15767.9356846649
"111",11,26119.2453538566,3870.07975753896,16431.0927094164
"112",11.1,25964.1101044261,4024.75858179118,17120.8082761053
"113",11.2,25803.44951351,4184.94454348015,17838.0324380863
"114",11.3,25637.1228944498,4350.77768431503,18583.7397945776
"115",11.4,25464.9907870717,4522.39680339283,19358.9293150119
"116",11.5,25286.9154648015,4699.93895025662,20164.6240781687
"117",11.6,25102.7614813243,4883.53887846907,21001.8709192862
"118",11.7,24912.3962577772,5073.32845871875,21871.7399781646
"119",11.8,24715.6907112608,5269.43605067814,22775.3241411181
"120",11.9,24512.519925217,5471.98583306999,23713.7383695163
"121",12,24302.7638619452,5681.09709167545,24688.1189075838
"122",12.1,24086.3081172095,5896.88346533596,25699.62236211
"123",12.2,23863.0447165278,6119.45215036236,26749.4246467565
"124",12.3,23632.8729523272,6348.90306417315,27838.7197837617
"125",12.4,23395.7002606916,6585.32796943818,28968.7185560217
"126",12.5,23151.4431359283,6828.80956050821,30140.6470027942
"127",12.6,22900.0280806229,7079.42051446241,31355.7447526294
"128",12.7,22641.3925882566,7337.22250970681,32615.2631875936
"129",12.8,22375.486154805,7602.26521570475,33920.4634334176
"130",12.9,22102.2713150508,7874.58525811294,35272.6141708882
"131",13,21821.7246986029,8154.20516433155,36672.9892646117
"132",13.1,21533.838099844,8441.13229524816,38122.865206221
"133",13.2,21238.6195552276,8735.35776975744,39623.5183701758
"134",13.3,20936.0944205151,9036.85538946387,41176.2220815296
"135",13.4,20626.3064397084,9345.58057181386,42782.2434964032
"136",13.5,20309.3187965871,9661.46930074518,44442.84029742
"137",13.6,19985.2151389291,9984.43710477313,46159.2572080174
"138",13.7,19654.1005646847,10314.3780732394,47932.7223313571
"139",13.8,19316.1025586077,10651.1639222143,49764.4433214936
"140",13.9,18971.3718671422,10994.6431222486,51655.6033965352
"141",14,18620.083298734,11344.640100797,53607.3572057168
"142",14.1,18262.436436211,11700.9545326601,55620.8265645921
"143",14.2,17898.6562474711,12063.3607321949,57697.096074923
"144",14.3,17528.9935804589,12431.6071613007,59837.2086482711
"145",14.4,17153.725528322,12805.4160672743,62042.1609547537
"146",14.5,16773.1556507396,13184.483264527,64312.8988208844
"147",14.6,16387.614037731,13568.4780738382,66650.3126028381
"148",14.7,15997.4572028006,13957.043432269,69055.2325638263
"149",14.8,15603.0677930754,14349.7961860606,71528.424286495
"150",14.9,15204.8541051593,14746.3275777717,74070.5841533213
"151",15,14803.2493967689,15146.203937564,76682.3349298399
"152",15.1,14398.7109858462,15548.9675869219,79364.2214871221
"153",15.2,13991.7191307487,15954.1379611749,82116.7067012158
"154",15.3,13582.7756873065,16361.2129550114,84940.167568182
"155",15.4,13172.4025409862,16769.6704927177,87834.8915738819
"156",15.5,12761.1398150928,17178.9703221837,90801.0733577439
