"","time","U","I","V"
"1",0,30000,0,300
"2",0.1,29999.9741550659,0.0258407727462964,300.415697799836
"3",0.2,29999.9482401465,0.05174319818924,301.664031863349
"4",0.3,29999.9221810878,0.0777813990686604,303.748133508914
"5",0.4,29999.8959063536,0.104026856508646,306.673515468419
"6",0.5,29999.8693432528,0.130552182980328,310.448011811084
"7",0.6,29999.8424182897,0.157430773572972,315.081689112366
"8",0.7,29999.8150569158,0.184737049580936,320.587259627462
"9",0.8,29999.7871834286,0.212546563629565,326.979694809795
"10",0.9,29999.7587207404,0.240936229150457,334.276408041798
"11",1,29999.7295901437,0.269984554149404,342.497333972181
"12",1.1,29999.6997111224,0.299771829702294,351.66495777692
"13",1.2,29999.6690010927,0.3303803883685,361.804385967544
"14",1.3,29999.6373751984,0.36189480824508,372.943409914194
"15",1.4,29999.604746078,0.394402145057279,385.112581342535
"16",1.5,29999.5710236161,0.427992180061652,398.345297797369
"17",1.6,29999.5361146958,0.462757666339645,412.677893992026
"18",1.7,29999.4999229425,0.498794584607535,428.149741459147
"19",1.8,29999.4623484574,0.536202408204749,444.803356702432
"20",1.9,29999.4232875418,0.575084377607566,462.684518006473
"21",2,29999.3826324113,0.615547785308116,481.842391250837
"22",2.1,29999.340270898,0.657704271836182,502.329665083741
"23",2.2,29999.2960861415,0.701670133633018,524.202695737933
"24",2.3,29999.2499562666,0.747566643685327,547.521661941778
"25",2.4,29999.2017540466,0.795520386474553,572.350730867398
"26",2.5,29999.151346553,0.845663606688805,598.758234405608
"27",2.6,29999.0985947892,0.898134573608734,626.816857029142
"28",2.7,29999.043353307,0.953077962401032,656.603835921328
"29",2.8,29998.9854698059,1.01064525295957,688.201173599661
"30",2.9,29998.9247847132,1.07099514734403,721.695863581775
"31",3,29998.8611307445,1.13429400711887,757.180129837876
"32",3.1,29998.7943324425,1.2007163117597,794.751680658226
"33",3.2,29998.7242056935,1.27044513938351,834.51397763102
"34",3.3,29998.6505572208,1.34367267112719,876.576520471759
"35",3.4,29998.5731840514,1.42060072056018,921.055148486643
"36",3.5,29998.4918729576,1.50144128958709,968.072359499341
"37",3.6,29998.4063998693,1.58641715236827,1017.75764711815
"38",3.7,29998.316529257,1.67576246886315,1070.24785727103
"39",3.8,29998.2220134833,1.7697234296818,1125.68756498884
"40",3.9,29998.1225921209,1.86855893401652,1184.22947247304
"41",4,29998.0179912354,1.97254130251507,1246.03482954201
"42",4.1,29997.9079226311,2.081957027053,1311.27387761235
"43",4.2,29997.792083058,2.19710755946343,1380.12631843539
"44",4.3,29997.6701533764,2.31831014138876,1452.78180887764
"45",4.4,29997.5417976787,2.4458986775314,1529.44048310512
"46",4.5,29997.4066623649,2.58022465469891,1610.3135036067
"47",4.6,29997.2643751694,2.72165810916376,1695.62364257074
"48",4.7,29997.1145441364,2.87058864498992,1785.60589521259
"49",4.8,29996.9567565414,3.02742650611719,1880.50812673788
"50",4.9,29996.7905777558,3.19260370514063,1980.59175471907
"51",5,29996.6155500506,3.36657521187683,2086.13246875925
"52",5.1,29996.4311913379,3.54982020497142,2197.42098941986
"53",5.2,29996.2369938444,3.74284338997343,2314.7638684959
"54",5.3,29996.0324227147,3.94617638748298,2438.48433283589
"55",5.4,29995.8169145407,4.16037919516864,2568.92317402255
"56",5.5,29995.5898758121,4.38604172765141,2706.43968635578
"57",5.6,29995.3506812848,4.62378543846329,2851.41265571154
"58",5.7,29995.0986722615,4.87426502851042,3004.24140198903
"59",5.8,29994.8331547818,5.13817024570515,3165.34687800522
"60",5.9,29994.5533977142,5.41622778067734,3335.17282784953
"61",6,29994.2586307473,5.70920326373504,3514.18700787384
"62",6.1,29993.9480422732,6.01790336851726,3702.88247366383
"63",6.2,29993.620777158,6.34317802806943,3901.77893651712
"64",6.3,29993.2759343925,6.68592276937405,4111.42419314346
"65",6.4,29992.9125646182,7.04708117268775,4332.39563250092
"66",6.5,29992.5296675206,7.4276474623706,4565.30182389241
"67",6.6,29992.1261890828,7.82866923624577,4810.78419066697
"68",6.7,29991.7010186927,8.25125034089836,5069.51877410352
"69",6.8,29991.2529860953,8.69655390071184,5342.21809229882
"70",6.9,29990.7808581825,9.16580550885047,5629.63309913925
"71",7,29990.2833356102,9.6602965888271,5932.55524870711
"72",7.1,29989.7590492356,10.1813879357487,6251.81867075739
"73",7.2,29989.2065563642,10.7305134468086,6588.30246320118
"74",7.3,29988.6243367949,11.3091840510941,6942.93310784811
"75",7.4,29988.0107886558,11.918991849306,7316.68701599236
"76",7.5,29987.3642240157,12.5616144745365,7710.59321077708
"77",7.6,29986.6828642628,13.2388196858355,8125.73615363979
"78",7.7,29985.9648352362,13.9524702069026,8563.25872252874
"79",7.8,29985.2081620972,14.7045288228831,9024.36534998768
"80",7.9,29984.4107639284,15.49706374892,9510.32532963478
"81",8,29983.5704480434,16.3322542848156,10022.4763000122
"82",8.1,29982.684903995,17.2123967709013,10562.2279152568
"83",8.2,29981.7516972626,18.1399108609857,11131.0657125404
"84",8.3,29980.7682626057,19.1173461290702,11730.5551867528
"85",8.4,29979.7318970622,20.1473890273709,12362.3460834501
"86",8.5,29978.6397525757,21.2328702140823,13028.1769216716
"87",8.6,29977.4888282309,22.3767722702573,13729.8797588348
"88",8.7,29976.2759620767,23.582237826156,14469.3852105599
"89",8.8,29974.9978225168,24.8525781184485,15248.7277389432
"90",8.9,29973.6508992427,26.1912820007292,16070.0512235091
"91",9,29972.2314936877,27.6020254309283,16935.6148298057
"92",9.1,29970.7357089765,29.0886814603823,17847.7991913925
"93",9.2,29969.1594393425,30.655330750555,18809.1129217814
"94",9.3,29967.4983589882,32.3062726446883,19822.19947375
"95",9.4,29965.7479103574,34.0460368230005,20889.8443643489
"96",9.5,29963.9032917902,35.879395571453,22014.9827848634
"97",9.6,29961.959444529,37.8113766955646,23200.7076159831
"98",9.7,29959.9110390423,39.8472771122766,24450.2778694694
"99",9.8,29957.7524606313,41.9926771544525,25767.1275786992
"100",9.9,29955.4777942824,44.2534556242502,27154.8751616002
"101",10,29953.0808087288,46.6358056333143,28617.3332806915
"102",10.1,29950.5549396797,49.1462512695189,30158.5192261882
"103",10.2,29947.8932721757,51.7916651318392,31782.6658494412
"104",10.3,29945.0885220277,54.5792867768449,33494.2330753499
"105",10.4,29942.1330162914,57.516742122292,35297.920023818
"106",10.5,29939.0186727318,60.6120638553398,37198.6777718192
"107",10.6,29935.7369782261,63.8737128950391,39201.7227892043
"108",10.7,29932.2789660534,67.310600960921,41312.5510830118
"109",10.8,29928.6351920172,70.9321143017633,43536.9530867503
"110",10.9,29924.7957093432,74.7481386409229,45881.0293329
"111",11,29920.7500422932,78.7690853969932,48351.2069487285
"112",11.1,29916.4871584347,83.0059192409674,50954.2570174536
"113",11.2,29911.9954395004,87.4701870535677,53697.3128487873
"114",11.3,29907.2626507721,92.1740483489199,56587.8892049921
"115",11.4,29902.2759089199,97.1303072333089,59633.9025307447
"116",11.5,29897.0216482235,102.352445970342,62843.692237363
"117",11.6,29891.4855851028,107.854660226453,66226.0430942851
"118",11.7,29885.6526808801,113.651896073293,69790.2087831136
"119",11.8,29879.5071026933,119.759888826165,73545.9366720438
"120",11.9,29873.0321824791,126.19520380026,77503.4938710831
"121",12,29866.2103739406,132.975279068967,81673.6946311437
"122",12.1,29859.0232074115,140.118470311075,86067.9291528414
"123",12.2,29851.4512425281,147.644097836023,90698.193873668
"124",12.3,29843.4740186157,155.572495878724,95577.1233051126
"125",12.4,29835.0700026957,163.925064257558,100718.023494286
"126",12.5,29826.2165350169,172.7243224912,106134.907187651
"127",12.6,29816.8897720126,181.993966471623,111842.53077756
"128",12.7,29807.0646265847,191.758927792177,117856.433115485
"129",12.8,29796.7147056117,202.045435830814,124192.976278981
"130",12.9,29785.8122445814,212.881082689348,130869.388382726
"131",13,29774.3280392446,224.294891090061,137903.808527159
